ReportDate,Currency in circulation -Total ,`Other' deposits with RBI ,Bankers' deposits with RBI ,Reserve Money (Liabilities/Components) ,RBI's Claims on - Government (net),RBI's Claims on - Central Govt,RBI's Claims on Banks & Commercial sector,RBI's Claims on Banks (Including NABARD),RBI's claims on Commercial sector (Excluding NABARD) ,Net foreign exchange assets of RBI ,Govt't currency liabilities to the public ,Net non-monetary liabilities of RBI 
21-Mar-03,285704,3310,64369,353383,109456,106292,9148,6176,2972,352079,7071,124372
14-Mar-03,285846,2707,74878,363432,121240,117286,9220,6287,2933,352264,7036,126329
07-Mar-03,283482,2487,73923,359892,119749,113721,10679,7456,3223,351484,7036,129056
28-Feb-03,278871,2667,75467,357005,117402,113829,11298,7319,3979,347369,7036,126102
21-Feb-03,280250,3247,68040,351537,101608,95908,9034,6118,2916,359727,7036,125869
14-Feb-03,281582,2776,74323,358680,110539,105258,8860,5941,2919,360224,6993,127936
07-Feb-03,279109,2917,71554,353580,108508,102984,8965,6059,2906,356290,6993,127176
31-Jan-03,273054,3130,72595,348779,108321,102858,9472,6532,2940,351677,6993,127683
24-Jan-03,274471,2671,70920,348062,107823,102114,9881,6956,2925,350437,6993,127072
17-Jan-03,276086,2695,68139,346919,108054,101410,10746,7054,3692,347064,6947,125892
10-Jan-03,275090,2736,76630,354456,120210,113070,10186,7184,3002,342156,6947,125044
03-Jan-03,271778,3128,68170,343076,109876,103357,9503,6523,2980,339703,6947,122952
27-Dec-02,270912,2618,70298,343828,110760,105402,9364,6401,2963,337633,6947,120876
20-Dec-02,271987,2657,70682,345326,114792,106941,9123,6008,3115,334008,6907,119504
13-Dec-02,274103,2945,72193,349241,123022,116319,9030,6070,2960,329697,6907,119416
06-Dec-02,272372,2782,67597,342752,117950,111794,9125,6118,3007,326991,6907,118221
29-Nov-02,267986,2932,71688,342605,118134,0,9302,6198,3104,323042,6907,114779
22-Nov-02,270898,3285,69087,343271,121565,0,8960,5991,2969,320971,6851,115075
15-Nov-02,273914,3602,73033,350550,130939,0,9431,6467,2964,318416,6851,115087
08-Nov-02,275815,3024,65778,344618,128410,0,9334,6391,2943,315551,6851,115529
01-Nov-02,266399,3189,86679,356267,142511,0,9462,6520,2942,312335,6661,114702
25-Oct-02,263661,3309,72192,339162,125351,0,9552,6641,2911,309754,6851,112347
18-Oct-02,265903,3262,66637,335802,120553,0,9804,6698,3106,310029,6851,111435
11-Oct-02,264918,3284,69902,338104,124869,0,9717,6762,2955,308931,6790,112203
04-Oct-02,259132,3913,71515,334560,124113,0,9320,6348,2972,305860,6790,111524
27-Sep-02,256885,3314,78072,338272,129580,0,9731,6747,2984,303419,6790,111249
20-Sep-02,259706,3479,72726,335911,128187,0,9357,6430,2927,302867,6790,111289
13-Sep-02,262192,3526,68346,334064,127529,0,9472,6413,3059,300446,6728,110111
06-Sep-02,261136,3509,81730,346375,140632,0,9408,6482,2926,301133,6728,111527
30-Aug-02,257898,3500,62474,323872,119616,0,9171,6241,2930,298402,6728,110046
23-Aug-02,260622,3571,72258,336451,134207,0,8658,5732,2926,296132,6728,109274
16-Aug-02,262810,3515,70090,336415,136984,0,8802,5882,2920,294555,6666,110592
09-Aug-02,262988,3551,75325,341863,154137,0,8662,5724,2938,292093,6666,119693
02-Aug-02,260087,3629,68198,331913,144182,0,8723,5807,2916,292554,6666,120211
26-Jul-02,260990,3778,76947,341714,155332,0,9675,6750,2925,291371,6666,121329
19-Jul-02,264721,3617,64462,332800,148552,0,9598,6672,2926,290495,6534,122379
12-Jul-02,267900,4017,78807,350724,169412,0,9660,6731,2929,286681,6534,121563
05-Jul-02,267650,3792,71830,343272,164117,0,9486,6552,2934,283136,6534,120001
28-Jun-02,265607,3238,60275,329120,147966,0,10140,7221,2919,283248,6534,118768
21-Jun-02,268480,3883,69538,341901,163492,0,9725,6804,2921,279143,6459,116919
14-Jun-02,271376,2371,71321,345068,166991,0,9801,6821,2980,277079,6459,115263
07-Jun-02,271722,2077,68604,342403,164653,0,9737,6744,2993,276026,6459,114473
31-May-02,267324,2272,69023,338618,159701,0,10512,7418,3094,275234,6459,113288
24-May-02,269058,2249,79532,350840,169699,0,13658,9621,4037,273476,6383,112377
17-May-02,270333,2316,77375,350024,169065,0,14652,9696,4956,272290,6383,112366
10-May-02,269553,2373,73664,345590,163054,0,14760,10215,4545,272799,6383,111407
03-May-02,264456,2212,79054,345722,161069,0,17757,11825,5932,272347,6383,111835
26-Apr-02,260781,2525,73542,336848,155562,0,14157,9734,4423,270858,6383,110113
19-Apr-02,260992,2360,80657,344009,160102,0,16754,11292,5462,269146,6383,108376
12-Apr-02,260052,2344,70850,333246,153725,0,12356,8857,3499,267992,6366,107194
05-Apr-02,254992,2645,64940,322577,144036,0,10973,7776,3197,266420,6366,105219
31-Mar-02,250974,3099,84147,337952,147175,0,19528,11168,8360,264208,6366,103821
29-Mar-02,251519,3033,78904,333456,147175,0,19528,11168,8360,264208,6366,103821
22-Mar-02,251605,2704,67791,322100,141768,0,17869,10904,6965,259973,6366,103876
15-Mar-02,252836,2492,74591,329919,152179,0,21562,12723,8839,254176,6238,104236
08-Mar-02,251853,2199,68446,322498,152148,0,16965,10045,6920,250706,6238,103559
01-Mar-02,247209,2507,73643,323359,150596,0,21838,11983,9855,247330,6238,102643
22-Feb-02,247583,2322,70345,320250,151350,0,19611,11775,7836,245612,6238,102561
15-Feb-02,247949,2316,65541,315806,146293,0,20901,12171,8730,244458,6155,102001
08-Feb-02,246327,2216,75639,324182,155765,0,21381,13184,8197,242142,6155,101261
01-Feb-02,241017,2640,68254,311911,146543,0,18037,10128,7909,240510,6155,99334
25-Jan-02,241564,2298,73556,317418,152460,0,19131,11247,7884,238092,6155,98420
18-Jan-02,243595,2384,67047,313026,148559,0,20175,11190,8985,237634,6077,99419
11-Jan-02,243561,2424,65027,311012,151758,0,16665,9056,7609,236751,6077,100239
04-Jan-02,241182,2609,64947,308738,149004,0,19977,11046,8931,233211,6077,99531
28-Dec-01,239470,2519,72521,314510,147984,0,25121,14292,10829,232111,6077,96783
21-Dec-01,241420,2470,67612,311502,146861,0,23185,12581,10604,229647,5993,94184
14-Dec-01,243131,2826,68934,314891,155689,0,19347,10100,9247,228990,5993,95128
07-Dec-01,243099,2494,65313,310906,151316,0,21753,11817,9936,225375,5993,93531
30-Nov-01,238985,2911,76692,318588,163101,0,17330,9593,7737,224988,5993,92824
23-Nov-01,241263,3079,64633,308975,149977,0,20519,11167,9352,223954,5889,91364
16-Nov-01,244132,2736,72678,319546,164082,0,18659,10841,7818,223086,5889,92170
09-Nov-01,239967,2981,64353,307301,152334,0,19517,10198,9319,222083,5889,92522
02-Nov-01,234143,3171,79894,317208,163404,0,22780,12334,10446,218609,5889,93474
26-Oct-01,232911,3248,73454,309613,156006,0,22505,11941,10564,216881,5889,91668
19-Oct-01,231864,3137,75408,310409,156545,0,22924,11890,11034,216719,5889,91668
12-Oct-01,230770,3191,74712,308673,157758,0,21159,12299,8860,216706,5805,92755
05-Oct-01,228308,3555,70903,302766,157370,0,17315,9612,7703,215779,5805,93503
28-Sep-01,224562,3470,80956,308988,160240,0,20224,10804,9420,214028,5805,91309
21-Sep-01,226789,3318,71909,302016,152030,0,21626,11124,10502,214344,5805,91789
14-Sep-01,228709,3459,73719,305887,153778,0,21002,11166,9836,215833,5721,90447
07-Sep-01,229555,3661,81591,314807,160204,0,22043,12192,9851,214160,5721,87321
31-Aug-01,225969,3709,66781,296459,147741,0,15812,7658,8154,213826,5721,86641
24-Aug-01,228439,3654,75940,308033,156133,0,19647,10391,9256,211788,5720,85255
17-Aug-01,230761,3303,71120,305184,156826,0,18151,9168,8983,210125,5640,85558
10-Aug-01,231704,3446,68572,303722,166058,0,17037,8765,8272,207918,5640,92931
03-Aug-01,229965,3526,67139,300630,164384,0,16081,7750,8331,206301,5640,91776
27-Jul-01,227989,3517,74768,306274,161554,0,25340,13724,11616,205913,5640,92173
20-Jul-01,231389,3671,69480,304540,165737,0,19405,10148,9257,205404,5565,91571
13-Jul-01,234428,3897,70531,308856,166704,0,21772,11751,10021,205354,5565,90539
06-Jul-01,234802,3980,66536,305318,166691,0,16355,7894,8461,205487,5565,88780
